tar_lum,mat_lum,bg_tar,bg_mat
7.2,4.717747177471774,gray,gray
7.2,3.4976849768497686,gray,gray
7.2,5.399603996039961,gray,gray
7.2,4.392093920939209,gray,gray
7.2,3.2610826108261084,gray,gray
7.2,2.6312263122631228,gray,gray
7.2,3.249382493824938,gray,gray
7.2,4.417444174441744,gray,gray
7.2,4.505195051950519,gray,gray
7.2,3.086880868808688,gray,gray
7.2,3.2220822208222084,gray,gray
7.2,2.2425224252242524,gray,gray
7.2,4.007290072900729,gray,gray
7.2,2.965979659796598,gray,gray
7.2,5.8884088840888404,gray,gray
7.2,3.6029860298602987,gray,gray
7.2,2.5363253632536327,gray,gray
7.2,3.0803808038080382,gray,gray
7.2,2.3712237122371222,gray,gray
7.2,4.759347593475935,gray,gray
7.2,4.7079970799707995,gray,gray
7.2,3.171381713817138,gray,gray
7.2,3.6354863548635485,gray,gray
7.2,2.270472704727047,gray,gray
7.2,3.116781167811678,gray,gray
7.2,3.5080850808508086,gray,gray
7.2,3.5405854058540585,gray,gray
7.2,4.086590865908659,gray,gray
7.2,4.51949519495195,gray,gray
7.2,6.303763037630376,gray,gray
7.2,3.153831538315383,gray,gray
7.2,2.3179231792317925,gray,gray
7.2,1.8154681546815468,gray,gray
7.2,3.4807848078480785,gray,gray
7.2,2.157371573715737,gray,gray
7.2,6.203662036620366,gray,gray
7.2,4.191241912419124,gray,gray
7.2,2.9464794647946477,gray,gray
7.2,3.677086770867709,gray,gray
7.2,4.641046410464105,gray,gray
7.2,3.6471864718647184,gray,gray
7.2,5.11230112301123,gray,gray
7.2,4.66639666396664,gray,gray
7.2,4.028740287402874,gray,gray
7.2,3.1960819608196083,gray,gray
7.2,3.7089370893708935,gray,gray
7.2,2.3101231012310124,gray,gray
7.2,4.4557945579455795,gray,gray
7.2,6.085360853608536,gray,gray
7.2,2.4518245182451825,gray,gray
7.2,1.3409634096340963,gray,gray
7.2,3.4729847298472984,gray,gray
7.2,2.997829978299783,gray,gray
7.2,4.365443654436544,gray,gray
7.2,2.115121151211512,gray,gray
7.2,4.689146891468915,gray,gray
