tar_lum,mat_lum,target_bg,match_bg,spacing
28.8,40.202902029020294,gray,gray,even
28.8,36.577815778157785,gray,gray,even
28.8,38.640936409364095,gray,gray,even
28.8,35.949259492594926,gray,gray,even
28.8,41.78761787617877,gray,gray,even
28.8,34.76169761697617,gray,gray,even
28.8,35.26545265452655,gray,gray,even
28.8,34.78054780547806,gray,gray,even
28.8,39.24934249342493,gray,gray,even
28.8,39.04719047190471,gray,gray,even
28.8,37.614576145761454,gray,gray,even
28.8,42.14447144471445,gray,gray,even
28.8,37.60352603526035,gray,gray,even
28.8,39.31759317593176,gray,gray,even
28.8,38.43553435534356,gray,gray,even
28.8,37.84207842078421,gray,gray,even
28.8,33.14773147731477,gray,gray,even
28.8,34.48154481544815,gray,gray,even
28.8,35.02170021700217,gray,gray,even
28.8,39.46904469044691,gray,gray,even
28.8,36.092910929109294,gray,gray,even
28.8,37.661376613766144,gray,gray,even
28.8,40.754757547575466,gray,gray,even
28.8,37.976629766297656,gray,gray,even
28.8,36.17221172211722,gray,gray,even
28.8,36.68441684416844,gray,gray,even
28.8,38.10468104681047,gray,gray,even
28.8,39.53989539895399,gray,gray,even
28.8,36.86381863818638,gray,gray,even
28.8,38.699436994369954,gray,gray,even
28.8,34.40159401594016,gray,gray,even
28.8,38.12353123531236,gray,gray,even
28.8,38.44658446584466,gray,gray,even
28.8,35.83550835508355,gray,gray,even
28.8,37.79527795277953,gray,gray,even
28.8,36.20796207962079,gray,gray,even
28.8,32.308573085730856,gray,gray,even
28.8,37.05817058170582,gray,gray,even
28.8,37.66072660726607,gray,gray,even
28.8,38.60128601286013,gray,gray,even
28.8,39.02964029640297,gray,gray,even
28.8,39.422244222442224,gray,gray,even
28.8,34.96514965149652,gray,gray,even
36.1,46.55736557365574,gray,gray,even
36.1,44.82964829648297,gray,gray,even
36.1,45.67075670756707,gray,gray,even
36.1,43.442534425344256,gray,gray,even
36.1,42.12952129521295,gray,gray,even
36.1,43.00378003780038,gray,gray,even
36.1,43.695386953869544,gray,gray,even
36.1,45.00645006450065,gray,gray,even
36.1,45.35810358103581,gray,gray,even
36.1,46.4650646506465,gray,gray,even
