tar_lum,mat_lum,bg_tar,bg_mat
18,12.800578005780057,gray,gray
18,16.646016460164603,gray,gray
18,10.03870038700387,gray,gray
18,11.143061430614306,gray,gray
18,14.863048630486304,gray,gray
18,10.670506705067051,gray,gray
18,11.344563445634456,gray,gray
18,11.423864238642386,gray,gray
18,13.072930729307293,gray,gray
18,13.553285532855329,gray,gray
18,10.489154891548916,gray,gray
18,12.394323943239433,gray,gray
18,10.07770077700777,gray,gray
18,15.594955949559495,gray,gray
18,8.115981159811598,gray,gray
18,13.191881918819188,gray,gray
18,11.570115701157011,gray,gray
18,11.997169971699718,gray,gray
18,15.35380353803538,gray,gray
18,10.720557205572055,gray,gray
18,9.211242112421123,gray,gray
18,14.460694606946069,gray,gray
18,10.803758037580376,gray,gray
18,8.211532115321154,gray,gray
18,9.083190831908318,gray,gray
18,12.842828428284284,gray,gray
18,12.823978239782397,gray,gray
18,12.548375483754837,gray,gray
18,12.740127401274012,gray,gray
18,10.79790797907979,gray,gray
18,16.196861968619686,gray,gray
18,10.67440674406744,gray,gray
18,13.036530365303653,gray,gray
18,11.744317443174431,gray,gray
18,14.345643456434564,gray,gray
18,10.795957959579596,gray,gray
18,13.026130261302614,gray,gray
18,10.18170181701817,gray,gray
18,14.093440934409344,gray,gray
18,11.554515545155452,gray,gray
18,12.931229312293123,gray,gray
18,10.070550705507054,gray,gray
18,9.706547065470655,gray,gray
18,13.602036020360204,gray,gray
18,14.714847148471485,gray,gray
18,8.91548915489155,gray,gray
18,14.76879768797688,gray,gray
18,16.04411044110441,gray,gray
18,10.49110491104911,gray,gray
18,13.791837918379183,gray,gray
18,12.141471414714147,gray,gray
18,13.353083530835308,gray,gray
18,10.984459844598446,gray,gray
18,13.875038750387503,gray,gray
18,13.389483894838948,gray,gray
18,16.294362943629437,gray,gray
18,14.057040570405704,gray,gray
18,12.769377693776939,gray,gray
18,9.55509555095551,gray,gray
18,13.239332393323933,gray,gray
18,9.507645076450764,gray,gray
18,8.788087880878809,gray,gray
18,10.06730067300673,gray,gray
18,11.074810748107481,gray,gray
18,9.9879998799988,gray,gray
18,16.243012430124303,gray,gray
18,8.653536535365353,gray,gray
18,15.516955169551695,gray,gray
18,13.429134291342914,gray,gray
18,12.892228922289222,gray,gray
18,14.734997349973499,gray,gray
18,15.06520065200652,gray,gray
18,13.713187131871319,gray,gray
18,16.718167181671816,gray,gray
18,11.009810098100981,gray,gray
18,12.220772207722078,gray,gray
18,13.429784297842978,gray,gray
18,13.381033810338103,gray,gray
18,13.320583205832058,gray,gray
18,10.74590745907459,gray,gray
18,14.033640336403364,gray,gray
18,12.948129481294814,gray,gray
18,7.068820688206882,gray,gray
18,12.860378603786037,gray,gray
18,11.822968229682298,gray,gray
18,10.818058180581806,gray,gray
18,13.59748597485975,gray,gray
18,14.89619896198962,gray,gray
18,8.644436444364443,gray,gray
19,12.231822318223182,gray,gray
19,14.97549975499755,gray,gray
19,11.616916169161692,gray,gray
19,10.368903689036891,gray,gray
19,14.710947109471094,gray,gray
19,14.38919389193892,gray,gray
19,18.958739587395876,gray,gray
19,12.931879318793188,gray,gray
19,10.876558765587657,gray,gray
19,8.080880808808088,gray,gray
19,18.064330643306434,gray,gray
19,14.67259672596726,gray,gray
19,18.79818798187982,gray,gray
19,11.685166851668516,gray,gray
19,12.882478824788247,gray,gray
19,16.88911889118891,gray,gray
19,12.370273702737027,gray,gray
19,13.100231002310023,gray,gray
19,13.186031860318604,gray,gray
19,14.965749657496575,gray,gray
19,15.48250482504825,gray,gray
19,12.173971739717397,gray,gray
19,14.23449234492345,gray,gray
19,11.727417274172742,gray,gray
19,17.67367673676737,gray,gray
19,9.588245882458825,gray,gray
19,15.09380093800938,gray,gray
19,13.344633446334463,gray,gray
19,13.806138061380613,gray,gray
19,17.415624156241563,gray,gray
19,12.424874248742487,gray,gray
19,10.784907849078492,gray,gray
19,16.45751457514575,gray,gray
19,12.515225152251523,gray,gray
19,9.69289692896929,gray,gray
19,10.64450644506445,gray,gray
19,14.71809718097181,gray,gray
19,14.697946979469794,gray,gray
19,14.400894008940089,gray,gray
19,14.606946069460694,gray,gray
19,12.508725087250873,gray,gray
19,18.31783317833178,gray,gray
19,12.375473754737547,gray,gray
19,14.926749267492674,gray,gray
19,13.533135331353314,gray,gray
19,16.334013340133403,gray,gray
19,12.506125061250613,gray,gray
19,14.915049150491505,gray,gray
19,11.840518405184051,gray,gray
19,16.06361063610636,gray,gray
19,13.327733277332774,gray,gray
19,14.813648136481365,gray,gray
19,11.719617196171962,gray,gray
19,11.323763237632376,gray,gray
19,15.535155351553515,gray,gray
19,16.729867298672985,gray,gray
19,10.461854618546186,gray,gray
19,16.788367883678838,gray,gray
19,18.154681546815468,gray,gray
19,12.175921759217593,gray,gray
19,15.739257392573926,gray,gray
19,13.961489614896148,gray,gray
19,15.267352673526736,gray,gray
19,12.710877108771088,gray,gray
19,15.828958289582896,gray,gray
19,15.306353063530635,gray,gray
19,18.422484224842247,gray,gray
19,16.023960239602395,gray,gray
19,14.638796387963879,gray,gray
19,11.158661586615866,gray,gray
19,15.145151451514515,gray,gray
19,11.107311073110731,gray,gray
19,10.322753227532274,gray,gray
19,11.715717157171571,gray,gray
19,12.808378083780838,gray,gray
19,11.629916299162991,gray,gray
19,18.366583665836657,gray,gray
19,10.175851758517584,gray,gray
19,17.590475904759046,gray,gray
19,15.349253492534926,gray,gray
19,14.771397713977139,gray,gray
19,16.751967519675198,gray,gray
19,17.105571055710556,gray,gray
19,15.654756547565476,gray,gray
19,18.87488874888749,gray,gray
19,12.738177381773818,gray,gray
19,14.047940479404794,gray,gray
19,15.34990349903499,gray,gray
19,15.297252972529725,gray,gray
19,15.232252322523225,gray,gray
19,12.452824528245282,gray,gray
19,15.999259992599926,gray,gray
19,14.831848318483186,gray,gray
19,8.437734377343773,gray,gray
19,14.736947369473695,gray,gray
19,13.617636176361763,gray,gray
19,12.530825308253082,gray,gray
19,15.53060530605306,gray,gray
19,16.92421924219242,gray,gray
19,10.16610166101661,gray,gray
20,14.331993319933199,gray,gray
20,17.31162311623116,gray,gray
20,13.660536605366053,gray,gray
20,12.294222942229423,gray,gray
20,17.02562025620256,gray,gray
20,16.67656676566766,gray,gray
20,21.606216062160623,gray,gray
20,15.094450944509445,gray,gray
20,12.850628506285062,gray,gray
20,9.770247702477025,gray,gray
20,20.644856448564486,gray,gray
20,16.984019840198403,gray,gray
20,21.433314333143333,gray,gray
20,13.734637346373464,gray,gray
20,15.041150411504114,gray,gray
20,19.37929379293793,gray,gray
20,14.482794827948279,gray,gray
20,15.277752777527775,gray,gray
20,15.371353713537136,gray,gray
20,17.301873018730188,gray,gray
20,17.860878608786088,gray,gray
20,14.268942689426893,gray,gray
20,16.509515095150952,gray,gray
20,13.781437814378144,gray,gray
20,20.224952249522495,gray,gray
20,11.435564355643557,gray,gray
20,17.440324403244034,gray,gray
20,15.54360543605436,gray,gray
20,16.044760447604475,gray,gray
20,19.946749467494676,gray,gray
20,14.541945419454194,gray,gray
20,12.749877498774987,gray,gray
20,18.91388913889139,gray,gray
20,14.640746407464075,gray,gray
20,11.551265512655126,gray,gray
20,12.596475964759648,gray,gray
20,17.033420334203342,gray,gray
20,17.011320113201133,gray,gray
20,16.689566895668957,gray,gray
20,16.913169131691316,gray,gray
20,14.63359633596336,gray,gray
20,20.917859178591787,gray,gray
20,14.487994879948799,gray,gray
20,17.259622596225963,gray,gray
20,15.748357483574836,gray,gray
20,18.780637806378063,gray,gray
20,14.6309963099631,gray,gray
20,17.247272472724728,gray,gray
20,13.904939049390494,gray,gray
20,18.488134881348813,gray,gray
20,15.524755247552475,gray,gray
20,17.136771367713678,gray,gray
20,13.772987729877299,gray,gray
20,13.340733407334074,gray,gray
20,17.917429174291744,gray,gray
20,19.207692076920768,gray,gray
20,12.396273962739627,gray,gray
20,19.270742707427075,gray,gray
20,20.74170741707417,gray,gray
20,14.27089270892709,gray,gray
20,18.138431384313844,gray,gray
20,16.21311213112131,gray,gray
20,17.627526275262753,gray,gray
20,14.853948539485394,gray,gray
20,18.234632346323462,gray,gray
20,17.670426704267044,gray,gray
20,21.029660296602966,gray,gray
20,18.44588445884459,gray,gray
20,16.947619476194763,gray,gray
20,13.160031600316003,gray,gray
20,17.495574955749557,gray,gray
20,13.103481034810349,gray,gray
20,12.243522435224353,gray,gray
20,13.768437684376844,gray,gray
20,14.95989959899599,gray,gray
20,13.674836748367484,gray,gray
20,20.969859698596984,gray,gray
20,12.082320823208232,gray,gray
20,20.13460134601346,gray,gray
20,17.716577165771657,gray,gray
20,17.091270912709128,gray,gray
20,19.231742317423173,gray,gray
20,19.612646126461264,gray,gray
20,18.046780467804677,gray,gray
20,21.516515165151652,gray,gray
20,14.883848838488385,gray,gray
20,16.306713067130673,gray,gray
20,17.717227172271723,gray,gray
20,17.660026600266004,gray,gray
20,17.589825898258983,gray,gray
20,14.57249572495725,gray,gray
20,18.419234192341925,gray,gray
20,17.156271562715627,gray,gray
20,10.16610166101661,gray,gray
20,17.053570535705358,gray,gray
20,15.840008400084,gray,gray
