lum,pscale,CE
14.4,0.43097069604123556,yes
14.4,0.4130817546116925,yes
14.4,0.4089110970951273,yes
14.4,0.41050592249636264,yes
14.4,0.4185102120437985,yes
14.4,0.42645020382934795,yes
14.4,0.43637417399902284,yes
14.4,0.40876973512038883,yes
14.4,0.41768780809545314,yes
14.4,0.43048432779648266,yes
14.4,0.4392923899796061,yes
14.4,0.4061242744072299,yes
14.4,0.41989758496046,yes
14.4,0.41048501693479694,yes
14.4,0.4195512680484477,yes
14.4,0.39123313498001794,yes
14.4,0.4084923928340348,yes
14.4,0.43017024040095586,yes
14.4,0.42271637727600747,yes
14.4,0.416354784227045,yes
14.4,0.4250287859177292,yes
14.4,0.4298877184363669,yes
14.4,0.42260851543842537,yes
14.4,0.4246980370542905,yes
14.4,0.4239257068873947,yes
14.4,0.4218149535340688,yes
14.4,0.4010461627211992,yes
14.4,0.39902989813524053,yes
14.4,0.4267354986968671,yes
14.4,0.4189045531243295,yes
14.4,0.42909213162021015,yes
14.4,0.4124823379744136,yes
14.4,0.4258558173122551,yes
14.4,0.422721748629637,yes
14.4,0.41704389985161994,yes
14.4,0.4099222102640459,yes
14.4,0.40508366271850244,yes
14.4,0.42107538374814485,yes
14.4,0.4343291557532676,yes
14.4,0.40891504101382764,yes
14.4,0.4184742752788475,yes
14.4,0.4153535986633325,yes
14.4,0.3854232099613364,yes
14.4,0.4391988088720225,yes
14.4,0.4162301425073843,yes
14.4,0.4262086086412595,yes
14.4,0.41702537206487583,yes
14.4,0.40579785579848276,yes
14.4,0.4134108966650133,yes
14.4,0.416278828413297,yes
14.4,0.41620046043177816,yes
14.4,0.40465333118852886,yes
14.4,0.4071380341418889,yes
14.4,0.40940776112476535,yes
14.4,0.4028618421177624,yes
14.4,0.41220213330590394,yes
14.4,0.4193567892601926,yes
14.4,0.4219424177544334,yes
14.4,0.4155765262915322,yes
14.4,0.44326304616786744,yes
14.4,0.4116473059242568,yes
14.4,0.4141211184158819,yes
14.4,0.40914257423834544,yes
14.4,0.4094653770333755,yes
14.4,0.4239865904339078,yes
14.4,0.41618023351735006,yes
14.4,0.4261342580500767,yes
14.4,0.4050236505597044,yes
14.4,0.4176243956741717,yes
14.4,0.43356628103824135,yes
14.4,0.42929928975596077,yes
14.4,0.4124804344694362,yes
14.4,0.4186535914947343,yes
14.4,0.4248480830296155,yes
14.4,0.44145358890234987,yes
14.4,0.42160990931926523,yes
14.4,0.422617647526406,yes
14.4,0.4116378729388033,yes
21.6,0.6299811816143317,yes
