lum,pscale,CE
5,0.2147348435713014,yes
5,0.2348752949929035,yes
5,0.20750775060889362,yes
5,0.20385768566262616,yes
5,0.2170348754387523,yes
5,0.18135681787639024,yes
10,0.3219191448820768,yes
10,0.3277433175318553,yes
10,0.331132206019423,yes
10,0.2975119503162901,yes
10,0.3217761322184549,yes
10,0.339883955208873,yes
10,0.3247242678611747,yes
10,0.3124004627257171,yes
10,0.33480201944886256,yes
10,0.31546777458258757,yes
10,0.3456636920343412,yes
10,0.33325292404336687,yes
10,0.33524141442792527,yes
10,0.3304372190462555,yes
10,0.3176371895677905,yes
10,0.32155330672045773,yes
10,0.31140764498542123,yes
10,0.3413150208136193,yes
10,0.32669591986036733,yes
10,0.33415431157014375,yes
10,0.34434191358084376,yes
10,0.3152463533244937,yes
10,0.32241005786688304,yes
10,0.32241212928331253,yes
10,0.3456865137407763,yes
10,0.30416936313529724,yes
10,0.32356339919976,yes
10,0.3423791050964863,yes
10,0.32890391275164815,yes
10,0.33471412550708646,yes
10,0.33007234834642496,yes
10,0.3482283378173126,yes
10,0.3161371127806015,yes
10,0.3337277237535749,yes
10,0.3330610141748341,yes
10,0.3200565390844413,yes
10,0.32108223912725936,yes
10,0.3404946234612152,yes
10,0.29861804368936457,yes
10,0.3288286468729898,yes
10,0.3067028092787589,yes
10,0.32909283010373874,yes
10,0.3313532250864837,yes
10,0.3161645371380366,yes
10,0.3387461614444149,yes
10,0.3556013629434233,yes
10,0.3341510017389894,yes
10,0.328833941375425,yes
10,0.32016947412118474,yes
10,0.3315557533724836,yes
10,0.3511403682507753,yes
10,0.3466239017477702,yes
10,0.34091820149271346,yes
10,0.3407608634742409,yes
10,0.34539264616181087,yes
10,0.33495261092968615,yes
10,0.34477717175223627,yes
10,0.32901092491069256,yes
10,0.3421468192229096,yes
10,0.3435429467413932,yes
10,0.320254239116668,yes
10,0.32044248724203994,yes
10,0.33534481338427996,yes
10,0.32624954531422684,yes
10,0.30987131400299767,yes
10,0.3429820525135836,yes
10,0.31611842191730183,yes
10,0.3028505948974503,yes
10,0.3580144943319683,yes
10,0.34384200172493967,yes
10,0.3177536163865281,yes
10,0.3430389864969571,yes
10,0.33759410333068635,yes
10,0.3279317857738177,yes
10,0.3438407129936797,yes
10,0.33563652968920793,yes
10,0.334990924829578,yes
10,0.3166776648689675,yes
10,0.31731388816738576,yes
10,0.3156696226029,yes
10,0.3283100653448788,yes
10,0.31580456068433393,yes
10,0.3271782297917479,yes
10,0.3487574793667931,yes
10,0.31773295648260924,yes
10,0.3220811276959271,yes
10,0.3090279349473278,yes
10,0.34952831939830514,yes
10,0.31962834141525803,yes
10,0.31329993242834137,yes
10,0.343449158914345,yes
10,0.33837489354335476,yes
10,0.32273557696180377,yes
10,0.3160845879077609,yes
10,0.3245641858740255,yes
10,0.36647022963176684,yes
10,0.324798560620151,yes
10,0.30971181110993157,yes
10,0.3124932785974285,yes
10,0.3024808162666976,yes
15,0.43839613686445844,yes
15,0.44045858734521803,yes
15,0.43477609486690394,yes
15,0.4067089634669178,yes
15,0.4189142540537053,yes
15,0.44688163737475245,yes
15,0.44118451929299707,yes
15,0.4268036546080872,yes
15,0.43516936791410055,yes
15,0.4234768077364688,yes
15,0.4454902386055918,yes
15,0.4334731458901291,yes
15,0.43628214238443835,yes
15,0.44038894144054724,yes
15,0.42453186361086837,yes
15,0.4267545531074407,yes
15,0.4416715936799727,yes
15,0.4269919448594316,yes
15,0.44165332504688726,yes
15,0.423497193591518,yes
15,0.4353894586542765,yes
15,0.4344288434241796,yes
15,0.4385177255782606,yes
15,0.4337690830290398,yes
15,0.4341349988074613,yes
15,0.4118469161143233,yes
15,0.43571147717135456,yes
15,0.44732984255945185,yes
15,0.41555768048342373,yes
15,0.42228212207577975,yes
15,0.43449198110108045,yes
15,0.4550551678200789,yes
15,0.44144101401622404,yes
15,0.43808076808821916,yes
15,0.4461368789783256,yes
15,0.418352169983722,yes
15,0.4344839378638494,yes
15,0.4365844611513672,yes
15,0.42996924104908846,yes
15,0.42343558551795196,yes
15,0.41732614619279346,yes
15,0.4378430628329365,yes
15,0.4347963570013377,yes
15,0.4264065492302463,yes
15,0.437669702066068,yes
15,0.43539237087822386,yes
15,0.4385879994292457,yes
15,0.442652762587782,yes
15,0.4234583035427261,yes
15,0.4105978885598381,yes
15,0.44574143611184674,yes
15,0.43974067008717477,yes
15,0.44505756472623426,yes
15,0.424382808717007,yes
15,0.437626871054681,yes
15,0.42444295798322534,yes
15,0.4501143182540064,yes
15,0.4216529008222389,yes
15,0.4466950475047017,yes
15,0.424255203694413,yes
15,0.432103802733096,yes
15,0.429206265215652,yes
15,0.432664381890745,yes
15,0.42526705374601415,yes
15,0.435330660369409,yes
15,0.4322977852996139,yes
15,0.4043286132571243,yes
15,0.4221127417906938,yes
15,0.4450081547789404,yes
15,0.44537774143386427,yes
15,0.42521102997690813,yes
15,0.4390102682182518,yes
15,0.431462746376649,yes
15,0.4217700816257328,yes
15,0.43594511532934943,yes
15,0.43734676054327204,yes
15,0.4337064612326618,yes
15,0.41646194253316166,yes
15,0.4300472353137133,yes
15,0.4267422515937216,yes
15,0.42955706644569924,yes
15,0.44006197635651706,yes
15,0.43580466758099196,yes
15,0.4381269786470123,yes
15,0.4335004218244194,yes
15,0.4305591022206761,yes
15,0.43737448262636797,yes
15,0.43318972583909093,yes
15,0.42496130527390075,yes
15,0.4311058097728188,yes
15,0.42855208094699115,yes
15,0.43043252077291,yes
15,0.43659201916907525,yes
15,0.44113192270273827,yes
15,0.43121214601650887,yes
15,0.44737444311758146,yes
15,0.442550469309262,yes
15,0.4352080783471042,yes
15,0.4290500888049743,yes
15,0.4144195087577377,yes
20,0.5633836734851275,yes
20,0.5623079941373172,yes
20,0.5602531371332999,yes
20,0.5360908348164324,yes
20,0.5635795399075545,yes
20,0.5793468674169495,yes
20,0.5705420453607049,yes
20,0.5525431765311679,yes
20,0.5806899382857489,yes
20,0.5634069331778916,yes
20,0.57288251395417,yes
20,0.5778546881091368,yes
20,0.5753249683311998,yes
20,0.5629792005043033,yes
20,0.5723246040573639,yes
20,0.562389426925046,yes
20,0.568099177717776,yes
20,0.5751609464747437,yes
20,0.5620719617070499,yes
20,0.5635191134132127,yes
20,0.5641612903281155,yes
20,0.5425252468901935,yes
20,0.5745802999462659,yes
20,0.5700558901083441,yes
20,0.5603151687833838,yes
20,0.5549439760842321,yes
20,0.5541153977233065,yes
20,0.5805228455145856,yes
20,0.5573907525897965,yes
20,0.5564775828473545,yes
20,0.5737143110958837,yes
20,0.5916070018980226,yes
20,0.5683526877836821,yes
20,0.5863692620115266,yes
20,0.5750774990626419,yes
20,0.565523254810365,yes
20,0.546704549381894,yes
20,0.5585910718567272,yes
20,0.5645345358654144,yes
20,0.5521983423776634,yes
20,0.5554185722091328,yes
20,0.5575664882648576,yes
