lum,pscale,CE
5,0.10270740402725832,yes
5,0.23465992858320542,yes
5,0.24329006621244484,yes
5,0.24831670790025517,yes
5,0.23434596103044092,yes
5,0.24932311461674053,yes
10,-0.4870177231429562,yes
10,0.04898673045724489,yes
10,0.09803822010346797,yes
10,0.03115833014819316,yes
10,0.43881293943596583,yes
10,0.43071941160715216,yes
10,0.44052115008223897,yes
10,0.43398275861061825,yes
10,0.06891346958569143,yes
10,0.08256043880958006,yes
10,0.071215902984347,yes
10,0.09338138950706469,yes
10,0.44234191017580743,yes
10,0.4319723955086154,yes
10,-0.33350161627969377,yes
10,0.09084155033386589,yes
10,0.07012300161749468,yes
10,0.4477851034075559,yes
10,0.4287764319432723,yes
10,0.4360066236845462,yes
10,-0.36986460401753646,yes
10,0.44218947136422604,yes
10,0.435408243792534,yes
10,0.07024922198442975,yes
10,0.09485692087488053,yes
10,0.4423161041171361,yes
10,0.04851352375667157,yes
10,-0.42870789718858093,yes
10,0.047670914557684775,yes
10,0.4495886369619604,yes
10,0.06966212491645053,yes
10,0.44107838149028633,yes
10,0.0883616043606536,yes
10,0.07078974158905385,yes
10,-0.33385710339464764,yes
10,0.4339040351198496,yes
10,0.07144682977003274,yes
10,-0.36817441813233154,yes
10,0.0450895307741654,yes
10,0.06074793858562682,yes
10,0.02253525693455377,yes
10,0.07090664897164488,yes
10,0.4387880243081726,yes
10,0.4383490366990434,yes
10,-0.31025641691814293,yes
10,0.0659090997828349,yes
10,0.046651237602778166,yes
10,0.0690666175882459,yes
10,0.0690899792937942,yes
10,0.0494434076150068,yes
10,0.09749554669110094,yes
10,0.42456887121964165,yes
10,-0.30452637872566446,yes
10,0.06874507532836044,yes
10,0.09129728173380143,yes
10,0.27453869229506517,yes
10,-0.3108261129139433,yes
10,0.06881053109244199,yes
10,-0.5148064948906912,yes
10,0.07115394818756764,yes
10,0.069985691504312,yes
10,0.07003423440139812,yes
10,-0.43444866504380425,yes
10,0.04879604132568394,yes
10,0.4397231523989821,yes
10,0.09671074429482186,yes
10,0.43370161463013546,yes
10,-0.3747681940564054,yes
10,0.42580397077413,yes
10,0.44962662483804683,yes
10,0.4425881529959624,yes
10,0.06886488906253486,yes
10,-0.3383879720748344,yes
10,0.43689322488250104,yes
10,0.0969789251232743,yes
10,0.06913463763937429,yes
10,-0.46577475337069474,yes
10,0.03258476116920666,yes
10,0.0869519442434692,yes
10,0.4389627635815617,yes
10,0.04677696534872871,yes
10,0.45242009036359454,yes
10,0.09716042304252805,yes
10,0.09752347314077033,yes
10,0.09320234990127302,yes
10,0.04588152891574168,yes
10,0.09783425070341156,yes
10,0.06701075402988266,yes
10,0.4334949094902827,yes
10,0.4297199335155896,yes
10,0.44028446794641274,yes
