lum,pscale,CE
5,0.18233820575624343,yes
5,0.1290705519537896,yes
5,0.16090002461595485,yes
5,0.12932471744954804,yes
5,0.13764093543703565,yes
5,0.15092339102072108,yes
5,0.15072236251170418,yes
5,0.14924397614988402,yes
5,0.1441393798467672,yes
5,0.12704338898295042,yes
5,0.1729559864279702,yes
5,0.179565678546735,yes
5,0.1663240648633583,yes
5,0.17533266495982078,yes
5,0.150853516285219,yes
5,0.13250744190698577,yes
5,0.1617540693576469,yes
5,0.16865291275501465,yes
5,0.14879187717243694,yes
5,0.17280868550465073,yes
5,0.1573233091352516,yes
5,0.18954301115084723,yes
5,0.15487608222027227,yes
5,0.17738662811981912,yes
5,0.14223246161187736,yes
5,0.15694643764134145,yes
5,0.16880462491116707,yes
5,0.13452321437123155,yes
5,0.1816874787576435,yes
5,0.16132608850288516,yes
5,0.1533166973313206,yes
5,0.16384336861763235,yes
5,0.15386923266084038,yes
5,0.15035265535708536,yes
5,0.14945124261484055,yes
5,0.12387280975826845,yes
5,0.1892043438804632,yes
5,0.17209301765899612,yes
5,0.1659407579890501,yes
5,0.11571085429015875,yes
5,0.15788787838493534,yes
5,0.15794474843642936,yes
5,0.14861214527953023,yes
5,0.14955897559187006,yes
5,0.17204166663402104,yes
5,0.1477938310047818,yes
5,0.149937083474315,yes
5,0.16798404682450147,yes
5,0.18158597885788558,yes
5,0.18012176761759524,yes
5,0.16527092981983113,yes
5,0.1532317919546636,yes
5,0.1550835679897033,yes
5,0.14333400218535086,yes
5,0.1559855049328082,yes
5,0.17544678138100583,yes
5,0.1696893287226782,yes
5,0.16728726592651705,yes
5,0.16495318155422245,yes
5,0.16465316314367107,yes
5,0.1517995089062161,yes
5,0.13530890975717885,yes
5,0.17425178155199905,yes
18,0.46123447441340937,yes
18,0.4487313448481366,yes
18,0.4650700629638245,yes
18,0.45908442759697643,yes
18,0.48290497707776175,yes
18,0.46557121066519946,yes
18,0.46958282836014553,yes
18,0.45523442800877867,yes
18,0.4688665461437905,yes
18,0.4886944772155051,yes
18,0.45977631476240977,yes
18,0.4790630182815131,yes
18,0.48523667779287377,yes
18,0.4480020043816481,yes
18,0.47375688244682934,yes
18,0.4621146939163498,yes
18,0.4697277861517761,yes
18,0.46918738003748534,yes
18,0.4685593757912632,yes
18,0.4827954178304884,yes
18,0.44857227676318745,yes
18,0.4673834695233635,yes
18,0.48350470874679835,yes
18,0.47108789399434686,yes
18,0.47054378785141726,yes
18,0.44893787996895446,yes
18,0.4590913033551477,yes
18,0.4544686158054352,yes
18,0.45989346846227236,yes
18,0.4583574467844585,yes
18,0.4660681307881239,yes
18,0.4712380149700818,yes
18,0.45307751098967497,yes
