lum,pscale,up_std,low_std,obs,background
120,0.6305438658637699,0.8448543068583663,0.6196294945116759,sub3,variegated
155,0.7612224433181176,0.9977614022932123,0.7532055100863067,sub3,variegated
199,0.830440604678957,1.2052905566541419,0.8230826265503149,sub3,variegated
242,0.870510816037214,1.2608865734249204,0.8638832621329464,sub3,variegated
281,0.983617702339875,1.3771100674974301,0.9772933352795747,sub3,variegated
312,1.0,1.405772088601309,0.9920244644445743,sub3,variegated
25,0.0,0.0,0.0,sub3,homogeneous
40,0.13035221674187492,0.1368874927636126,0.13006372483262157,sub3,homogeneous
60,0.262373043827073,0.2772232253793383,0.2594024249609391,sub3,homogeneous
89,0.40068619794777555,0.4687724322152357,0.3931014300995865,sub3,homogeneous
120,0.5247820052625745,0.646905411986993,0.5180277016955899,sub3,homogeneous
155,0.6536009594634348,0.7818429954276515,0.6475000698482404,sub3,homogeneous
199,0.7971628398512152,0.9430227612467188,0.7880865101290064,sub3,homogeneous
242,0.8703354547035715,1.0238658008018473,0.861089236759965,sub3,homogeneous
281,0.9344233961671529,1.0896774074750126,0.9251969131913798,sub3,homogeneous
312,1.0,1.1569695800492954,0.9907782099283381,sub3,homogeneous
25,0.0,0.0,0.0,sub4,variegated
40,0.2935615213460513,0.49457898370740194,0.26512029077032984,sub4,variegated
60,0.3523476212116211,0.5639488961639065,0.3235460781458453,sub4,variegated
89,0.41862507681644484,0.638107063584959,0.39004041712973614,sub4,variegated
120,0.4973301565104395,0.7764984494140427,0.46795397945260875,sub4,variegated
155,0.6083644327589045,1.0161393469208209,0.5787367019270981,sub4,variegated
199,0.7004956833134462,1.119832074690139,0.6711240075110851,sub4,variegated
242,0.7519900022942502,1.1818001787447598,0.723630189854027,sub4,variegated
281,0.9660591404231118,1.4095158508021126,0.9393539235579141,sub4,variegated
312,1.0,1.5392769817698868,0.9664041695448534,sub4,variegated
25,0.0,0.0,0.0,sub4,homogeneous
40,0.14098971705772317,0.14512401482476675,0.14067067821741808,sub4,homogeneous
