tar_lum,mat_lum,obs,background
199,233.5333333333333,sub2,variegated
312,295.83333333333326,sub2,variegated
242,231.1333333333333,sub2,variegated
89,79.87,sub2,variegated
199,182.93333333333328,sub2,variegated
40,24.32,sub2,variegated
242,217.80000000000004,sub2,variegated
89,81.53999999999999,sub2,variegated
242,233.5333333333333,sub2,variegated
312,337.9333333333333,sub2,variegated
155,132.8,sub2,variegated
25,19.65333333333333,sub2,variegated
199,182.93333333333328,sub2,variegated
281,318.8666666666667,sub2,variegated
25,21.16,sub2,variegated
155,139.7666666666667,sub2,variegated
312,266.7333333333333,sub2,variegated
89,70.22000000000001,sub2,variegated
242,240.3333333333333,sub2,variegated
281,295.83333333333326,sub2,variegated
281,299.3666666666666,sub2,variegated
281,291.8666666666667,sub2,variegated
89,61.28666666666666,sub2,variegated
120,103.40000000000002,sub2,variegated
40,27.80333333333333,sub2,variegated
312,288.63333333333327,sub2,variegated
25,17.533333333333335,sub2,variegated
199,208.80000000000004,sub2,variegated
281,295.83333333333326,sub2,variegated
120,126.3333333333333,sub2,variegated
60,53.00333333333334,sub2,variegated
281,273.9333333333333,sub2,variegated
242,263.2666666666667,sub2,variegated
60,61.28666666666666,sub2,variegated
199,227.13333333333327,sub2,variegated
89,72.01000000000002,sub2,homogeneous
281,322.2,sub2,homogeneous
155,149.2333333333333,sub2,homogeneous
120,101.56666666666665,sub2,homogeneous
120,107.36666666666669,sub2,homogeneous
242,273.9333333333333,sub2,homogeneous
281,314.2,sub2,homogeneous
199,231.1333333333333,sub2,homogeneous
312,342.40000000000003,sub2,homogeneous
25,11.476666666666665,sub2,homogeneous
155,154.2333333333333,sub2,homogeneous
199,284.5333333333333,sub2,homogeneous
242,281.1666666666667,sub2,homogeneous
40,22.693333333333328,sub2,homogeneous
312,318.8666666666667,sub2,homogeneous
40,19.65333333333333,sub2,homogeneous
60,49.19333333333332,sub2,homogeneous
25,10.956666666666669,sub2,homogeneous
40,22.693333333333328,sub2,homogeneous
25,13.74,sub2,homogeneous
312,375.03333333333325,sub2,homogeneous
199,277.6333333333334,sub2,homogeneous
89,72.01000000000002,sub2,homogeneous
242,318.8666666666667,sub2,homogeneous
60,44.39000000000001,sub2,homogeneous
155,151.69999999999996,sub2,homogeneous
155,149.2333333333333,sub2,homogeneous
25,12.573333333333329,sub2,homogeneous
60,50.44,sub2,homogeneous
199,303.5333333333333,sub2,homogeneous
120,117.5,sub2,homogeneous
312,396.73333333333323,sub2,homogeneous
40,27.80333333333333,sub2,homogeneous
60,47.95,sub2,homogeneous
25,14.923333333333332,sub2,homogeneous
89,79.87,sub2,homogeneous
281,325.79999999999995,sub2,homogeneous
199,299.3666666666666,sub2,homogeneous
60,47.95,sub2,homogeneous
155,156.8666666666667,sub2,homogeneous
155,135.3,sub2,homogeneous
60,43.16333333333333,sub2,homogeneous
120,103.40000000000002,sub2,homogeneous
40,24.32,sub2,homogeneous
120,105.66666666666669,sub2,homogeneous
25,6.863333333333332,sub2,homogeneous
