lum,pscale,up_std,low_std,obs,background
60,0.48343120494155517,0.6413409689340056,0.47358287028898327,sub3,variegated
74,0.637925658624616,0.8648568296750107,0.6239099405568782,sub3,variegated
92,0.7962921381054081,1.0721008027438264,0.7787999884259371,sub3,variegated
108,0.949856863809968,1.2509412164950016,0.937037749375627,sub3,variegated
125,0.9664833009957033,1.271174112567338,0.9539364588951481,sub3,variegated
137,1.0,1.3731059805894108,0.9876650144375821,sub3,variegated
22,0.09734574623553852,0.09991441506406235,0.09731006463814475,sub3,homogeneous
28,0.20184311417265358,0.21869104855125612,0.1953553040101899,sub3,homogeneous
36,0.2959007963940593,0.3150426710937237,0.2913461410195246,sub3,homogeneous
48,0.40988508081311714,0.5058883632382482,0.3984335632432894,sub3,homogeneous
60,0.5022892519010059,0.600758213109662,0.4909781481886896,sub3,homogeneous
74,0.6864246187842802,0.7958780857822388,0.6764242091161867,sub3,homogeneous
92,0.7834111146298468,0.9615206230375322,0.7727556248587499,sub3,homogeneous
108,0.8072565074473769,1.0058869414644733,0.7956481845682268,sub3,homogeneous
125,0.975900510660565,1.167887422890616,0.9646590190337341,sub3,homogeneous
137,1.0,1.215666198069198,0.988782368168892,sub3,homogeneous
22,0.015742470217296096,0.07963299365662692,-0.03258517535706823,sub4,variegated
28,0.3465410904287645,0.4170407215412484,0.33092535914316257,sub4,variegated
36,0.4473488336835562,0.7543287377532649,0.404736263532319,sub4,variegated
48,0.5509689998358593,0.8796709756534532,0.5041719850476151,sub4,variegated
60,0.5888137795740427,0.9222752770903418,0.5432817414075758,sub4,variegated
74,0.6864885453714686,1.0326451708665414,0.639142599883263,sub4,variegated
92,0.7949761988534806,1.3097957306116716,0.7468420430503905,sub4,variegated
108,0.8941804287038547,1.5188087952090916,0.8443581625774546,sub4,variegated
125,0.9801725714951617,1.6156662373770259,0.9317869165699337,sub4,variegated
137,1.0,1.6394901719728954,0.9510413750510165,sub4,variegated
22,0.10873835094184896,0.11162615760367,0.1086672844239502,sub4,homogeneous
28,0.23190302681119968,0.32930984851600187,0.22118086438899384,sub4,homogeneous
36,0.2562975202773326,0.43639212550690964,0.24271229155724022,sub4,homogeneous
48,0.38341402575252054,0.566152352676948,0.3644308599126334,sub4,homogeneous
60,0.48729779535251166,0.6728179591860048,0.46844554373319297,sub4,homogeneous
74,0.5145503843809446,0.776474942028372,0.4937681949462109,sub4,homogeneous
92,0.7390566486434236,1.0194378785181226,0.7130206012310057,sub4,homogeneous
108,0.9523849039025538,1.2428934011683073,0.9265010491040847,sub4,homogeneous
125,0.975881689801408,1.2808712579551058,0.9523098555336861,sub4,homogeneous
137,1.0,1.3713077176125743,0.9769837351710112,sub4,homogeneous
22,-0.13297451376349814,-0.06049549272681256,-0.5617564515102206,sub5,variegated
28,0.10232995067366035,0.2256451249816704,0.04445412335969544,sub5,variegated
36,0.19214828635232958,0.404627095873892,0.13238072321236394,sub5,variegated
48,0.4078446735974109,0.9144495072538814,0.33972399520877283,sub5,variegated
60,0.5213804490750439,1.0356589412399204,0.45330359694190175,sub5,variegated
74,0.6471251717308346,1.1673917459417085,0.5762145394353126,sub5,variegated
92,0.7350870217517063,1.2678835518503377,0.6669752019711087,sub5,variegated
108,0.8479945881737249,1.3905602556472427,0.7871256903901576,sub5,variegated
125,0.9409888482170423,1.4886453139895288,0.8769777529467578,sub5,variegated
137,1.0,1.554729433299785,0.9379871552138871,sub5,variegated
22,0.13755898692729496,0.13760692585447024,0.13739862242159837,sub5,homogeneous
28,0.2734604447401586,0.2799472772107362,0.2724680122742392,sub5,homogeneous
36,0.41825116708959414,0.44489645651933846,0.4115569582425372,sub5,homogeneous
48,0.44779615776199716,0.5666329886072046,0.4293725150812058,sub5,homogeneous
60,0.482712048344699,0.6234262004142802,0.462502472866701,sub5,homogeneous
74,0.5259771065965064,0.7483112284693743,0.5036285216358285,sub5,homogeneous
92,0.7012237399103398,1.0056646211758895,0.6661206923144588,sub5,homogeneous
108,0.7403222317299133,1.0676748820654833,0.711982226710566,sub5,homogeneous
125,0.8695521906871778,1.1964214625206848,0.8404611568744158,sub5,homogeneous
137,1.0,1.328994123993366,0.9717865213376088,sub5,homogeneous
22,-0.009794319399957988,0.05021778371105538,-0.07938826746422724,sub6,variegated
28,0.1063546654179544,0.19225963304617819,0.05439522230463883,sub6,variegated
36,0.3524332224537487,0.7902383716341569,0.2830551624355759,sub6,variegated
48,0.4709793318895368,0.9768597869591877,0.4028731656031538,sub6,variegated
60,0.5753336210241095,1.2548621532419082,0.506540969668734,sub6,variegated
74,0.7230234478478109,1.4074106193487295,0.6578945264892173,sub6,variegated
92,0.7942939458349471,1.4899472644111942,0.7280030203513717,sub6,variegated
108,0.9135343281731604,1.6112396695685158,0.8533331294840599,sub6,variegated
125,0.9797332167479936,1.6771142374331893,0.917982204116891,sub6,variegated
137,1.0,1.6969114826790317,0.9406868233279526,sub6,variegated
22,-0.011373584934560383,0.057289806841655744,-0.08336786487477543,sub6,homogeneous
28,0.07770008114781124,0.14983005889693274,0.018196341976065292,sub6,homogeneous
36,0.13290958563670552,0.21252830434624145,0.07388320680492824,sub6,homogeneous
48,0.2718430579870317,0.37367809853631795,0.2100723122962627,sub6,homogeneous
60,0.329132214635035,0.43618409730083924,0.2656117520935124,sub6,homogeneous
74,0.432698398985023,0.5510313520867434,0.368251245480638,sub6,homogeneous
92,0.6601834388138262,0.8168550707760782,0.5828726697945236,sub6,homogeneous
108,0.8703635052600532,1.4417441834140696,0.7912523049780925,sub6,homogeneous
125,0.9246476686164543,1.5008431123089983,0.8438857315914958,sub6,homogeneous
137,1.0,1.5778505336342978,0.9161219947306775,sub6,homogeneous
22,-0.009148100669410766,0.018935557808285562,-0.046275495963536195,sub7,variegated
28,0.20135958941540086,0.22006441217993783,0.1984202190333674,sub7,variegated
36,0.4354008718531739,0.609360778727791,0.4138565146265952,sub7,variegated
48,0.4864453298028472,0.6688450655634959,0.4631995751710207,sub7,variegated
