lum,slope,obs,background
67.0,1.2600238095238123,sub6,variegated
83.0,2.09074074074074,sub6,variegated
100.0,-0.09291666666666565,sub6,variegated
116.5,0.7617647058823489,sub6,variegated
131.0,2.5275000000000034,sub6,variegated
25.0,1.5582777777777779,sub6,homogeneous
32.0,0.7454166666666664,sub6,homogeneous
42.0,2.385166666666666,sub6,homogeneous
54.0,1.1998888888888903,sub6,homogeneous
67.0,1.5504761904761903,sub6,homogeneous
83.0,2.6996111111111114,sub6,homogeneous
100.0,2.053750000000001,sub6,homogeneous
116.5,1.1658823529411744,sub6,homogeneous
131.0,-0.8286111111111083,sub6,homogeneous
25.0,1.4799444444444443,sub7,variegated
32.0,2.317708333333332,sub7,variegated
42.0,1.8561666666666685,sub7,variegated
54.0,1.158388888888889,sub7,variegated
67.0,1.9384523809523801,sub7,variegated
83.0,1.6233148148148158,sub7,variegated
100.0,2.2883541666666645,sub7,variegated
116.5,0.6935294117647054,sub7,variegated
131.0,1.7294444444444441,sub7,variegated
25.0,1.6496111111111116,sub7,homogeneous
32.0,1.0340416666666679,sub7,homogeneous
42.0,0.9276111111111097,sub7,homogeneous
54.0,0.9901944444444446,sub7,homogeneous
67.0,1.6968333333333325,sub7,homogeneous
83.0,3.9395555555555557,sub7,homogeneous
100.0,1.1724999999999994,sub7,homogeneous
116.5,1.5113725490196108,sub7,homogeneous
131.0,-0.018055555555558083,sub7,homogeneous
25.0,1.424666666666667,test,variegated
32.0,2.364916666666667,test,variegated
42.0,1.4622777777777773,test,variegated
54.0,2.940055555555555,test,variegated
67.0,3.4505000000000012,test,variegated
83.0,1.8066666666666658,test,variegated
100.0,4.069166666666668,test,variegated
116.5,1.3201960784313755,test,variegated
131.0,2.1347222222222135,test,variegated
25.0,1.099944444444444,test,homogeneous
32.0,0.9690416666666675,test,homogeneous
42.0,1.3605,test,homogeneous
54.0,1.3411944444444448,test,homogeneous
67.0,0.9569761904761894,test,homogeneous
83.0,2.379185185185185,test,homogeneous
100.0,2.217916666666669,test,homogeneous
116.5,2.1903921568627425,test,homogeneous
131.0,1.0158333333333331,test,homogeneous
