tar_lum,mat_lum,obs,background
188,306.9666666666667,sub1,homogeneous
99,95.81666666666663,sub1,homogeneous
176,259.8333333333333,sub1,homogeneous
73,73.33333333333331,sub1,homogeneous
79,90.32666666666665,sub1,homogeneous
159,231.1333333333333,sub1,homogeneous
99,113.46666666666664,sub1,homogeneous
125,132.8,sub1,homogeneous
125,120.06666666666665,sub1,homogeneous
87,88.75333333333333,sub1,homogeneous
73,60.02666666666665,sub1,homogeneous
79,86.86666666666667,sub1,homogeneous
99,76.69666666666667,sub1,homogeneous
99,83.22666666666667,sub1,homogeneous
125,130.46666666666664,sub1,homogeneous
188,249.7,sub1,homogeneous
87,73.33333333333331,sub1,homogeneous
144,191.3333333333333,sub1,homogeneous
99,103.40000000000002,sub1,homogeneous
79,70.22000000000001,sub1,homogeneous
159,281.1666666666667,sub1,homogeneous
79,57.06333333333332,sub1,homogeneous
125,111.36666666666669,sub1,homogeneous
144,214.76666666666662,sub1,homogeneous
99,74.93333333333332,sub1,homogeneous
176,246.5666666666667,sub1,homogeneous
73,55.76333333333332,sub1,homogeneous
99,79.87,sub1,homogeneous
79,51.81,sub1,homogeneous
159,214.76666666666662,sub1,homogeneous
87,60.02666666666665,sub1,homogeneous
125,103.40000000000002,sub1,homogeneous
176,303.5333333333333,sub1,homogeneous
159,240.3333333333333,sub1,homogeneous
125,121.8666666666667,sub1,homogeneous
188,249.7,sub1,homogeneous
73,12.003333333333334,sub2,variegated
125,164.3,sub2,variegated
188,333.8666666666666,sub2,variegated
79,26.03,sub2,variegated
99,35.54333333333332,sub2,variegated
111,101.56666666666665,sub2,variegated
87,35.54333333333332,sub2,variegated
144,199.9,sub2,variegated
111,205.80000000000004,sub2,variegated
159,214.76666666666662,sub2,variegated
99,62.75,sub2,variegated
73,14.923333333333332,sub2,variegated
99,88.75333333333333,sub2,variegated
144,177.5333333333333,sub2,variegated
144,199.9,sub2,variegated
144,202.9,sub2,variegated
73,26.94,sub2,variegated
125,126.3333333333333,sub2,variegated
188,277.6333333333334,sub2,variegated
188,288.63333333333327,sub2,variegated
99,46.78333333333332,sub2,variegated
73,18.943333333333328,sub2,variegated
111,86.86666666666667,sub2,variegated
79,22.693333333333328,sub2,variegated
176,266.7333333333333,sub2,variegated
125,167.5333333333333,sub2,variegated
125,159.1,sub2,variegated
125,159.1,sub2,variegated
73,32.44,sub2,variegated
99,67.19333333333333,sub2,variegated
176,306.9666666666667,sub2,variegated
73,20.436666666666667,sub2,variegated
176,266.7333333333333,sub2,variegated
159,236.6333333333333,sub2,variegated
144,169.5333333333333,sub2,variegated
111,109.46666666666664,sub2,variegated
176,256.9333333333333,sub2,variegated
79,25.16,sub2,variegated
188,259.8333333333333,sub2,variegated
111,109.46666666666664,sub2,variegated
87,27.80333333333333,sub2,variegated
125,103.40000000000002,sub2,variegated
79,27.80333333333333,sub2,variegated
87,30.553333333333324,sub2,variegated
111,128.3666666666667,sub2,variegated
87,21.97,sub2,variegated
73,28.70666666666667,sub2,variegated
87,28.70666666666667,sub2,variegated
125,149.2333333333333,sub2,variegated
188,303.5333333333333,sub2,variegated
79,17.533333333333335,sub2,variegated
