trial	context	image.fname	r	start_idx	match_lum
183	plain	stimuli/sub7/matching/183_plain_0.19	0.190000	0.159995	0.077995
184	dark	stimuli/sub7/matching/184_dark_0.82	0.820000	0.430314	0.210314
185	dark	stimuli/sub7/matching/185_dark_0.11	0.110000	0.677483	0.031483
186	light	stimuli/sub7/matching/186_light_0.11	0.110000	0.220500	0.056500
187	light	stimuli/sub7/matching/187_light_0.31	0.310000	0.405884	0.075884
188	dark	stimuli/sub7/matching/188_dark_1.67	1.670000	0.960475	0.360475
189	dark	stimuli/sub7/matching/189_dark_0.82	0.820000	0.679624	0.203624
190	dark	stimuli/sub7/matching/190_dark_0.11	0.110000	0.730287	0.052287
191	dark	stimuli/sub7/matching/191_dark_0.19	0.190000	0.359144	0.059144
192	dark	stimuli/sub7/matching/192_dark_0.63	0.630000	0.402136	0.142136
193	light	stimuli/sub7/matching/193_light_0.82	0.820000	0.693552	0.203552
194	dark	stimuli/sub7/matching/194_dark_1.67	1.670000	0.486807	0.486807
195	dark	stimuli/sub7/matching/195_dark_1.05	1.050000	0.193668	0.237668
196	dark	stimuli/sub7/matching/196_dark_0.82	0.820000	0.923099	0.203099
197	dark	stimuli/sub7/matching/197_dark_1.29	1.290000	0.756926	0.316926
198	dark	stimuli/sub7/matching/198_dark_0.11	0.110000	0.234784	0.034784
199	dark	stimuli/sub7/matching/199_dark_1.29	1.290000	0.861072	0.341072
200	dark	stimuli/sub7/matching/200_dark_0.46	0.460000	0.107724	0.107724
201	light	stimuli/sub7/matching/201_light_0.11	0.110000	0.915579	0.061579
202	plain	stimuli/sub7/matching/202_plain_0.11	0.110000	0.542454	0.046454
203	dark	stimuli/sub7/matching/203_dark_0.82	0.820000	0.898345	0.220345
204	dark	stimuli/sub7/matching/204_dark_1.50	1.500000	0.019772	0.380000
205	plain	stimuli/sub7/matching/205_plain_0.31	0.310000	0.452136	0.152136
206	dark	stimuli/sub7/matching/206_dark_0.63	0.630000	0.018709	0.158709
207	light	stimuli/sub7/matching/207_light_0.82	0.820000	0.842783	0.244783
208	dark	stimuli/sub7/matching/208_dark_1.50	1.500000	0.760929	0.252929
209	light	stimuli/sub7/matching/209_light_0.31	0.310000	0.529882	0.101882
210	dark	stimuli/sub7/matching/210_dark_0.31	0.310000	0.412668	0.082668
211	dark	stimuli/sub7/matching/211_dark_0.46	0.460000	0.933111	0.133111
212	light	stimuli/sub7/matching/212_light_1.29	1.290000	0.551267	0.371267
213	dark	stimuli/sub7/matching/213_dark_1.50	1.500000	0.527324	0.407324
214	dark	stimuli/sub7/matching/214_dark_1.29	1.290000	0.630919	0.300919
215	light	stimuli/sub7/matching/215_light_0.63	0.630000	0.534383	0.174383
216	plain	stimuli/sub7/matching/216_plain_1.29	1.290000	0.711033	0.511033
217	light	stimuli/sub7/matching/217_light_0.31	0.310000	0.935349	0.095349
218	dark	stimuli/sub7/matching/218_dark_1.50	1.500000	0.521059	0.377059
219	light	stimuli/sub7/matching/219_light_0.19	0.190000	0.108080	0.084080
220	dark	stimuli/sub7/matching/220_dark_0.31	0.310000	0.771225	0.083225
221	light	stimuli/sub7/matching/221_light_0.63	0.630000	0.767029	0.187029
222	plain	stimuli/sub7/matching/222_plain_1.05	1.050000	0.527195	0.367195
223	light	stimuli/sub7/matching/223_light_0.11	0.110000	0.504907	0.056907
224	dark	stimuli/sub7/matching/224_dark_0.46	0.460000	0.753773	0.133773
225	plain	stimuli/sub7/matching/225_plain_0.63	0.630000	0.098376	0.158376
226	dark	stimuli/sub7/matching/226_dark_1.67	1.670000	0.585225	0.465225
227	dark	stimuli/sub7/matching/227_dark_0.31	0.310000	0.341441	0.095441
228	plain	stimuli/sub7/matching/228_plain_0.19	0.190000	0.318140	0.050140
229	plain	stimuli/sub7/matching/229_plain_1.67	1.670000	0.481130	0.625130
230	light	stimuli/sub7/matching/230_light_1.29	1.290000	0.048528	0.408528
231	plain	stimuli/sub7/matching/231_plain_0.63	0.630000	0.833813	0.253813
232	plain	stimuli/sub7/matching/232_plain_1.50	1.500000	0.685643	0.545643
233	light	stimuli/sub7/matching/233_light_0.46	0.460000	0.151028	0.155028
234	plain	stimuli/sub7/matching/234_plain_0.82	0.820000	0.347259	0.299259
235	light	stimuli/sub7/matching/235_light_1.29	1.290000	0.794794	0.370794
236	dark	stimuli/sub7/matching/236_dark_0.46	0.460000	0.574758	0.134758
237	plain	stimuli/sub7/matching/237_plain_1.05	1.050000	0.817926	0.357926
238	light	stimuli/sub7/matching/238_light_1.05	1.050000	0.463320	0.383320
239	plain	stimuli/sub7/matching/239_plain_0.11	0.110000	0.876091	0.038091
240	plain	stimuli/sub7/matching/240_plain_0.31	0.310000	0.680413	0.100413
241	plain	stimuli/sub7/matching/241_plain_0.31	0.310000	0.070536	0.130536
242	dark	stimuli/sub7/matching/242_dark_0.19	0.190000	0.293143	0.059143
243	dark	stimuli/sub7/matching/243_dark_0.19	0.190000	0.900740	0.060740
244	dark	stimuli/sub7/matching/244_dark_1.29	1.290000	0.502337	0.342337
245	plain	stimuli/sub7/matching/245_plain_0.82	0.820000	0.173497	0.215497
246	dark	stimuli/sub7/matching/246_dark_0.82	0.820000	0.743755	0.187755
247	dark	stimuli/sub7/matching/247_dark_1.50	1.500000	0.535667	0.295667
248	light	stimuli/sub7/matching/248_light_1.29	1.290000	0.044823	0.342823
249	light	stimuli/sub7/matching/249_light_1.50	1.500000	0.639331	0.599331
250	plain	stimuli/sub7/matching/250_plain_1.50	1.500000	0.191874	0.591874
251	dark	stimuli/sub7/matching/251_dark_1.67	1.670000	0.087036	0.447036
252	light	stimuli/sub7/matching/252_light_0.82	0.820000	0.027622	0.247622
253	plain	stimuli/sub7/matching/253_plain_0.19	0.190000	0.943875	0.063875
254	dark	stimuli/sub7/matching/254_dark_0.31	0.310000	0.417061	0.077061
255	dark	stimuli/sub7/matching/255_dark_0.82	0.820000	0.333352	0.195352
256	light	stimuli/sub7/matching/256_light_1.50	1.500000	0.020577	0.456577
257	dark	stimuli/sub7/matching/257_dark_0.11	0.110000	0.884186	0.044186
258	dark	stimuli/sub7/matching/258_dark_1.67	1.670000	0.873500	0.373500
259	light	stimuli/sub7/matching/259_light_0.11	0.110000	0.321956	0.051956
260	dark	stimuli/sub7/matching/260_dark_1.29	1.290000	0.851914	0.331914
261	dark	stimuli/sub7/matching/261_dark_1.29	1.290000	0.597022	0.357022
262	light	stimuli/sub7/matching/262_light_0.19	0.190000	0.614088	0.074088
263	plain	stimuli/sub7/matching/263_plain_0.31	0.310000	0.598054	0.078054
264	dark	stimuli/sub7/matching/264_dark_1.05	1.050000	0.042019	0.302019
265	light	stimuli/sub7/matching/265_light_1.67	1.670000	0.478728	0.494728
266	dark	stimuli/sub7/matching/266_dark_0.82	0.820000	0.880056	0.154056
267	plain	stimuli/sub7/matching/267_plain_1.29	1.290000	0.058290	0.378290
268	light	stimuli/sub7/matching/268_light_0.31	0.310000	0.998491	0.098491
269	dark	stimuli/sub7/matching/269_dark_0.82	0.820000	0.697497	0.253497
270	plain	stimuli/sub7/matching/270_plain_0.82	0.820000	0.148236	0.322236
271	dark	stimuli/sub7/matching/271_dark_0.63	0.630000	0.929071	0.167071
272	light	stimuli/sub7/matching/272_light_0.63	0.630000	0.868750	0.168750
273	plain	stimuli/sub7/matching/273_plain_0.46	0.460000	0.809727	0.169727
274	plain	stimuli/sub7/matching/274_plain_0.11	0.110000	0.802819	0.026819
275	light	stimuli/sub7/matching/275_light_1.05	1.050000	0.380545	0.300545
276	plain	stimuli/sub7/matching/276_plain_1.05	1.050000	0.522840	0.362840
277	dark	stimuli/sub7/matching/277_dark_1.05	1.050000	0.468386	0.266386
278	plain	stimuli/sub7/matching/278_plain_1.67	1.670000	0.583415	0.767415
