trial	context	image.fname	r	start_idx	match_lum
241	light	stimuliSR/sub5/matching/241_light_1.05	1.050000	0.852754	0.348754
242	plain	stimuliSR/sub5/matching/242_plain_0.31	0.310000	0.431264	0.063264
243	dark	stimuliSR/sub5/matching/243_dark_1.50	1.500000	0.041084	0.301084
244	dark	stimuliSR/sub5/matching/244_dark_0.63	0.630000	0.711505	0.109505
245	dark	stimuliSR/sub5/matching/245_dark_1.50	1.500000	0.433790	0.303790
246	dark	stimuliSR/sub5/matching/246_dark_1.05	1.050000	0.000374	0.222000
247	dark	stimuliSR/sub5/matching/247_dark_0.11	0.110000	0.409103	0.038000
248	dark	stimuliSR/sub5/matching/248_dark_0.19	0.190000	0.275687	0.025687
249	dark	stimuliSR/sub5/matching/249_dark_1.50	1.500000	0.377044	0.295044
250	light	stimuliSR/sub5/matching/250_light_1.29	1.290000	0.608900	0.364900
251	light	stimuliSR/sub5/matching/251_light_0.11	0.110000	0.011445	0.141445
252	plain	stimuliSR/sub5/matching/252_plain_0.82	0.820000	0.008226	0.342226
253	light	stimuliSR/sub5/matching/253_light_0.46	0.460000	0.038500	0.192500
254	plain	stimuliSR/sub5/matching/254_plain_0.46	0.460000	0.148628	0.184628
255	light	stimuliSR/sub5/matching/255_light_1.29	1.290000	0.426527	0.346527
256	plain	stimuliSR/sub5/matching/256_plain_0.11	0.110000	0.866171	0.034171
257	light	stimuliSR/sub5/matching/257_light_0.19	0.190000	0.605278	0.165278
258	light	stimuliSR/sub5/matching/258_light_0.19	0.190000	0.726695	0.156695
259	dark	stimuliSR/sub5/matching/259_dark_0.11	0.110000	0.426637	0.026637
260	plain	stimuliSR/sub5/matching/260_plain_1.05	1.050000	0.664227	0.478227
261	plain	stimuliSR/sub5/matching/261_plain_0.11	0.110000	0.384697	0.024000
262	plain	stimuliSR/sub5/matching/262_plain_0.63	0.630000	0.670172	0.200172
263	plain	stimuliSR/sub5/matching/263_plain_1.05	1.050000	0.802827	0.384827
264	dark	stimuliSR/sub5/matching/264_dark_0.31	0.310000	0.494430	0.064430
265	plain	stimuliSR/sub5/matching/265_plain_1.50	1.500000	0.482864	0.702864
266	plain	stimuliSR/sub5/matching/266_plain_0.31	0.310000	0.961188	0.101188
267	dark	stimuliSR/sub5/matching/267_dark_1.67	1.670000	0.711585	0.299585
