tar_lum,mat_lum,target_bg,match_bg,spacing
7.2,9.45109451094511,gray,gray,even
7.2,5.410004100040999,gray,gray,even
7.2,10.60940609406094,gray,gray,even
7.2,7.415274152741527,gray,gray,even
7.2,13.132731327313273,gray,gray,even
7.2,6.6398163981639815,gray,gray,even
7.2,8.751687516875169,gray,gray,even
7.2,4.3621936219362185,gray,gray,even
7.2,4.182141821418214,gray,gray,even
7.2,6.253062530625306,gray,gray,even
7.2,7.965179651796517,gray,gray,even
7.2,8.364283642836428,gray,gray,even
7.2,2.832078320783208,gray,gray,even
7.2,13.969289692896929,gray,gray,even
7.2,8.081530815308152,gray,gray,even
7.2,6.462364623646238,gray,gray,even
7.2,4.63649636496365,gray,gray,even
7.2,10.66530665306653,gray,gray,even
7.2,4.117141171411714,gray,gray,even
7.2,14.334593345933461,gray,gray,even
7.2,5.319003190031901,gray,gray,even
7.2,1.6022660226602266,gray,gray,even
7.2,7.963229632296323,gray,gray,even
7.2,5.434054340543406,gray,gray,even
7.2,14.772047720477204,gray,gray,even
7.2,10.08160081600816,gray,gray,even
7.2,1.8011680116801168,gray,gray,even
7.2,8.612586125861258,gray,gray,even
7.2,6.015810158101582,gray,gray,even
7.2,13.99008990089901,gray,gray,even
7.2,5.527655276552767,gray,gray,even
7.2,2.9828798287982883,gray,gray,even
7.2,4.112591125911259,gray,gray,even
7.2,8.513785137851379,gray,gray,even
7.2,11.393963939639395,gray,gray,even
7.2,4.7060470604706035,gray,gray,even
7.2,6.372663726637267,gray,gray,even
7.2,14.64529645296453,gray,gray,even
7.2,2.0468704687046877,gray,gray,even
7.2,5.489954899548995,gray,gray,even
7.2,0.2834028340283403,gray,gray,even
7.2,8.717237172371723,gray,gray,even
7.2,13.126231262312624,gray,gray,even
7.2,11.893168931689315,gray,gray,even
7.2,3.733637336373364,gray,gray,even
7.2,5.7116071160711614,gray,gray,even
7.2,1.3877638776387764,gray,gray,even
7.2,6.6125161251612505,gray,gray,even
7.2,11.019560195601956,gray,gray,even
7.2,3.5821858218582188,gray,gray,even
7.2,7.248872488724888,gray,gray,even
7.2,8.006130061300613,gray,gray,even
7.2,8.056830568305683,gray,gray,even
7.2,6.498114981149811,gray,gray,even
7.2,5.832508325083251,gray,gray,even
7.2,2.4310243102431026,gray,gray,even
7.2,4.140541405414054,gray,gray,even
7.2,12.727127271272712,gray,gray,even
